Item ID,Article Type,Sequence
Item-2000,Fixitol 10mg,0
Item-2001,Fixitol 10mg,1
Item-2002,Fixitol 10mg,2
Item-2003,Fixitol 10mg,3
Item-2004,Fixitol 10mg,4
Item-2005,Fixitol 10mg,5
Item-2006,Fixitol 10mg,6
Item-2007,Fixitol 10mg,7
Item-2008,Fixitol 10mg,8
Item-2009,Fixitol 10mg,9
Item-2010,Fixitol 10mg,10
Item-2011,Fixitol 10mg,11
Item-2012,Fixitol 10mg,12
Item-2013,Fixitol 10mg,13
Item-2014,Fixitol 10mg,14
Item-2015,Fixitol 10mg,15
Item-2016,Fixitol 10mg,16
Item-2017,Fixitol 10mg,17
Item-2018,Fixitol 10mg,18
Item-2019,Fixitol 10mg,19
Item-2020,Fixitol 10mg,20
Item-2021,Fixitol 10mg,21
Item-2022,Fixitol 10mg,22
Item-2023,Fixitol 10mg,23
Item-2024,Fixitol 10mg,24
Item-2025,Fixitol 10mg,25
Item-2026,Fixitol 10mg,26
Item-2027,Fixitol 10mg,27
Item-2028,Fixitol 10mg,28
Item-2029,Fixitol 10mg,29
Item-2030,Fixitol 10mg,30
Item-2031,Fixitol 10mg,31
Item-2032,Fixitol 10mg,32
Item-2033,Fixitol 10mg,33
Item-2034,Fixitol 10mg,34
Item-2035,Fixitol 10mg,35
Item-2036,Fixitol 10mg,36
Item-2037,Fixitol 10mg,37
Item-2038,Fixitol 10mg,38
Item-2039,Fixitol 10mg,39
Item-2040,Fixitol 10mg,40
Item-2041,Fixitol 10mg,41
Item-2042,Fixitol 10mg,42
Item-2043,Fixitol 10mg,43
Item-2044,Fixitol 10mg,44
Item-2045,Fixitol 10mg,45
Item-2046,Fixitol 10mg,46
Item-2047,Fixitol 10mg,47
Item-2048,Fixitol 10mg,48
Item-2049,Fixitol 10mg,49
Item-2050,Fixitol 10mg,50
Item-2051,Fixitol 10mg,51
Item-2052,Fixitol 10mg,52
Item-2053,Fixitol 10mg,53
Item-2054,Fixitol 10mg,54
Item-2055,Fixitol 10mg,55
Item-2056,Fixitol 10mg,56
Item-2057,Fixitol 10mg,57
Item-2058,Fixitol 10mg,58
Item-2059,Fixitol 10mg,59
Item-2060,Fixitol 10mg,60
Item-2061,Fixitol 10mg,61
Item-2062,Fixitol 10mg,62
Item-2063,Fixitol 10mg,63
Item-2064,Fixitol 10mg,64
Item-2065,Fixitol 10mg,65
Item-2066,Fixitol 10mg,66
Item-2067,Fixitol 10mg,67
Item-2068,Fixitol 10mg,68
Item-2069,Fixitol 10mg,69
Item-2070,Fixitol 10mg,70
Item-2071,Fixitol 10mg,71
Item-2072,Fixitol 10mg,72
Item-2073,Fixitol 10mg,73
Item-2074,Fixitol 10mg,74
Item-2075,Fixitol 10mg,75
Item-2076,Fixitol 10mg,76
Item-2077,Fixitol 10mg,77
Item-2078,Fixitol 10mg,78
Item-2079,Fixitol 10mg,79
Item-2080,Fixitol 10mg,80
Item-2081,Fixitol 10mg,81
Item-2082,Fixitol 10mg,82
Item-2083,Fixitol 10mg,83
Item-2084,Fixitol 10mg,84
Item-2085,Fixitol 10mg,85
Item-2086,Fixitol 10mg,86
Item-2087,Fixitol 10mg,87
Item-2088,Fixitol 10mg,88
Item-2089,Fixitol 10mg,89
Item-2090,Fixitol 10mg,90
Item-2091,Fixitol 10mg,91
Item-2092,Fixitol 10mg,92
Item-2093,Fixitol 10mg,93
Item-2094,Fixitol 10mg,94
Item-2095,Fixitol 10mg,95
Item-2096,Fixitol 10mg,96
Item-2097,Fixitol 10mg,97
Item-2098,Fixitol 10mg,98
Item-2099,Fixitol 10mg,99
Item-2100,Fixitol 10mg,100
Item-2101,Fixitol 10mg,101
Item-2102,Fixitol 10mg,102
Item-2103,Fixitol 10mg,103
Item-2104,Fixitol 10mg,104
Item-2105,Fixitol 10mg,105
Item-2106,Fixitol 10mg,106
Item-2107,Fixitol 10mg,107
Item-2108,Fixitol 10mg,108
Item-2109,Fixitol 10mg,109
Item-2110,Fixitol 10mg,110
Item-2111,Fixitol 10mg,111
Item-2112,Fixitol 10mg,112
Item-2113,Fixitol 10mg,113
Item-2114,Fixitol 10mg,114
Item-2115,Fixitol 10mg,115
Item-2116,Fixitol 10mg,116
Item-2117,Fixitol 10mg,117
Item-2118,Fixitol 10mg,118
Item-2119,Fixitol 10mg,119
Item-2120,Fixitol 10mg,120
Item-2121,Fixitol 10mg,121
Item-2122,Fixitol 10mg,122
Item-2123,Fixitol 10mg,123
Item-2124,Fixitol 10mg,124
Item-2125,Fixitol 10mg,125
Item-2126,Fixitol 10mg,126
Item-2127,Fixitol 10mg,127
Item-2128,Fixitol 10mg,128
Item-2129,Fixitol 10mg,129
Item-2130,Fixitol 10mg,130
Item-2131,Fixitol 10mg,131
Item-2132,Fixitol 10mg,132
Item-2133,Fixitol 10mg,133
Item-2134,Fixitol 10mg,134
Item-2135,Fixitol 10mg,135
Item-2136,Fixitol 10mg,136
Item-2137,Fixitol 10mg,137
Item-2138,Fixitol 10mg,138
Item-2139,Fixitol 10mg,139
Item-2140,Fixitol 10mg,140
Item-2141,Fixitol 10mg,141
Item-2142,Fixitol 10mg,142
Item-2143,Fixitol 10mg,143
Item-2144,Fixitol 10mg,144
Item-2145,Fixitol 10mg,145
Item-2146,Fixitol 10mg,146
Item-2147,Fixitol 10mg,147
Item-2148,Fixitol 10mg,148
Item-2149,Fixitol 10mg,149
Item-2150,Fixitol 20mg,150
Item-2151,Fixitol 20mg,151
Item-2152,Fixitol 20mg,152
Item-2153,Fixitol 20mg,153
Item-2154,Fixitol 20mg,154
Item-2155,Fixitol 20mg,155
Item-2156,Fixitol 20mg,156
Item-2157,Fixitol 20mg,157
Item-2158,Fixitol 20mg,158
Item-2159,Fixitol 20mg,159
Item-2160,Fixitol 20mg,160
Item-2161,Fixitol 20mg,161
Item-2162,Fixitol 20mg,162
Item-2163,Fixitol 20mg,163
Item-2164,Fixitol 20mg,164
Item-2165,Fixitol 20mg,165
Item-2166,Fixitol 20mg,166
Item-2167,Fixitol 20mg,167
Item-2168,Fixitol 20mg,168
Item-2169,Fixitol 20mg,169
Item-2170,Fixitol 20mg,170
Item-2171,Fixitol 20mg,171
Item-2172,Fixitol 20mg,172
Item-2173,Fixitol 20mg,173
Item-2174,Fixitol 20mg,174
Item-2175,Fixitol 20mg,175
Item-2176,Fixitol 20mg,176
Item-2177,Fixitol 20mg,177
Item-2178,Fixitol 20mg,178
Item-2179,Fixitol 20mg,179
Item-2180,Fixitol 20mg,180
Item-2181,Fixitol 20mg,181
Item-2182,Fixitol 20mg,182
Item-2183,Fixitol 20mg,183
Item-2184,Fixitol 20mg,184
Item-2185,Fixitol 20mg,185
Item-2186,Fixitol 20mg,186
Item-2187,Fixitol 20mg,187
Item-2188,Fixitol 20mg,188
Item-2189,Fixitol 20mg,189
Item-2190,Fixitol 20mg,190
Item-2191,Fixitol 20mg,191
Item-2192,Fixitol 20mg,192
Item-2193,Fixitol 20mg,193
Item-2194,Fixitol 20mg,194
Item-2195,Fixitol 20mg,195
Item-2196,Fixitol 20mg,196
Item-2197,Fixitol 20mg,197
Item-2198,Fixitol 20mg,198
Item-2199,Fixitol 20mg,199
Item-2200,Fixitol 20mg,200
Item-2201,Fixitol 20mg,201
Item-2202,Fixitol 20mg,202
Item-2203,Fixitol 20mg,203
Item-2204,Fixitol 20mg,204
Item-2205,Fixitol 20mg,205
Item-2206,Fixitol 20mg,206
Item-2207,Fixitol 20mg,207
Item-2208,Fixitol 20mg,208
Item-2209,Fixitol 20mg,209
Item-2210,Fixitol 20mg,210
Item-2211,Fixitol 20mg,211
Item-2212,Fixitol 20mg,212
Item-2213,Fixitol 20mg,213
Item-2214,Fixitol 20mg,214
Item-2215,Fixitol 20mg,215
Item-2216,Fixitol 20mg,216
Item-2217,Fixitol 20mg,217
Item-2218,Fixitol 20mg,218
Item-2219,Fixitol 20mg,219
Item-2220,Fixitol 20mg,220
Item-2221,Fixitol 20mg,221
Item-2222,Fixitol 20mg,222
Item-2223,Fixitol 20mg,223
Item-2224,Fixitol 20mg,224
Item-2225,Fixitol 20mg,225
